run_name,architecture,lr_d,lr_g,final_iteration,final_d_loss,final_g_loss,final_k1,final_k2,final_k3,final_d1,final_d2,final_d3
run_mlp_lr_d0.0001_lr_g0.00125,mlp,0.0001,0.00125,20.0,1.4597244808101096e-05,2.4274237500068034,0.2053431785547941,0.0096602513287753,0.0004960682758207,0.0100667158069716,0.0013413773935144,3.865509952952583e-05
run_lstm_lr_d0.00005_lr_g0.00125,lstm,5e-05,0.00125,20.0,0.1436021809067045,2.294378307361007,0.180969253651243,0.0100578795004711,0.0004905537512263,0.00893304762526,0.0013082633989712,3.868257150900369e-05
run_lstm_lr_d0.0002_lr_g0.000625,lstm,0.0002,0.000625,20.0,0.0162016508901225,3.3683933275564764,0.1973106641603753,0.010190568288902,0.0005002690513029,0.0103716369907249,0.0015336602224385,5.467316038310831e-05
run_lstm_lr_d0.0001_lr_g0.00125,lstm,0.0001,0.00125,20.0,0.0469670703102435,2.535250813855082,0.1620888963444338,0.010121966303279,0.0004997515039945,0.0087577112318047,0.0013240879188624,3.896316370577804e-05
run_cnn_lr_d0.00005_lr_g0.0025,cnn,5e-05,0.0025,20.0,0.07944779555754,1.7679557017902052,0.2116407167100752,0.0099216372706467,0.0004994706661443,0.0105083973550534,0.0012238355468997,2.768607610485446e-05
run_lstm_lr_d0.0002_lr_g0.00125,lstm,0.0002,0.00125,20.0,0.0129101702411259,2.551109783259556,0.0174332719188105,0.0101310734722919,0.0004977062874824,0.0099179367137358,0.001398734744239,3.855859707505834e-05
run_cnn_lr_d0.0002_lr_g0.0025,cnn,0.0002,0.0025,20.0,0.0011311276495364,1.73397703125,0.1773877061760532,0.0100905247459721,0.0005002848502249,0.0082502291447648,0.0011227312503397,2.654084630752235e-05
run_mlp_lr_d0.0002_lr_g0.00125,mlp,0.0002,0.00125,20.0,1.3457338991429423e-05,2.385767969201362,0.1986207214606556,0.0102383630522938,0.000500626100969,0.0098190251591564,0.001388970346105,3.7571759208622514e-05
run_mlp_lr_d0.0002_lr_g0.0025,mlp,0.0002,0.0025,20.0,1.3707809518694245e-05,1.6717110156415482,0.1948913365668769,0.0101133183847385,0.0004997510386962,0.0096648590106001,0.0011138605363506,2.701720029589829e-05
run_mlp_lr_d0.0001_lr_g0.000625,mlp,0.0001,0.000625,20.0,1.7228279706874414e-05,3.442825,0.1818931473137463,0.0099805991727065,0.0005002617872586,0.0096497763641676,0.0014814766772077,5.430671758581317e-05
run_lstm_lr_d0.00005_lr_g0.000625,lstm,5e-05,0.000625,20.0,0.1241166205278464,3.463622383833528,0.1853406483647328,0.0101317337519372,0.000498562941278,0.0091350354730487,0.0015226921871006,5.412721842114902e-05
run_cnn_lr_d0.0001_lr_g0.000625,cnn,0.0001,0.000625,20.0,0.0077736618900254,3.3089015625005187,0.1929537935813899,0.0096113808821874,0.000494444322736,0.0095786298962117,0.0014781938938786,5.428785964458814e-05
run_lstm_lr_d0.0002_lr_g0.0025,lstm,0.0002,0.0025,20.0,0.0161328396626881,1.829337411358878,0.2110844923583789,0.0103360297925693,0.000500835981008,0.0088860764410189,0.0011888296952248,2.6118317686593825e-05
run_cnn_lr_d0.00005_lr_g0.000625,cnn,5e-05,0.000625,20.0,0.0750928973253126,3.2161148665400687,0.1878828255517997,0.0102565484483869,0.0005008001800039,0.009163559188715,0.001471499236986,5.3180956647500544e-05
run_mlp_lr_d0.00005_lr_g0.0025,mlp,5e-05,0.0025,20.0,3.763175135255941e-05,1.5108087500368728,0.2081637476558747,0.005802278524858,0.0005437735839763,0.0065553940746611,0.0009368436442973,2.495384924877567e-05
run_cnn_lr_d0.0001_lr_g0.00125,cnn,0.0001,0.00125,20.0,0.003638939868376,2.370242656286621,0.1788407748082411,0.0098279711528272,0.0005000694346294,0.0092311746025204,0.0013328204974104,3.80654715853137e-05
run_lstm_lr_d0.0001_lr_g0.0025,lstm,0.0001,0.0025,20.0,0.0494805316839899,1.709862379139662,0.1766729766566893,0.0093554044583074,4.605756043094143e-06,0.0080317304174081,0.0011009619700578,2.624055480302825e-05
run_cnn_lr_d0.0002_lr_g0.000625,cnn,0.0002,0.000625,20.0,0.0010619121173541,3.462446413709811,0.2029856532409141,0.0103906248458133,0.0004987015774153,0.009884001428739,0.0015993703184892,5.44804922534633e-05
run_mlp_lr_d0.0002_lr_g0.000625,mlp,0.0002,0.000625,20.0,1.3365821372904718e-05,3.6640921875,0.1871006789218002,0.0102206171964157,0.000496071181018,0.0069074377183713,0.0014994622059955,5.383856715168768e-05
run_mlp_lr_d0.0001_lr_g0.0025,mlp,0.0001,0.0025,20.0,2.025341131489508e-05,1.7442199218750143,0.1794948446890925,0.0098756724932592,0.0005001396599036,0.0091934247384829,0.001122635701339,2.687704619707306e-05
run_cnn_lr_d0.00005_lr_g0.00125,cnn,5e-05,0.00125,20.0,0.0344003767624339,2.65748779808621,0.1999975140962634,0.0105979099837022,0.000500491252934,0.0093708873289825,0.0013873502028111,3.6953771509477286e-05
run_cnn_lr_d0.0001_lr_g0.0025,cnn,0.0001,0.0025,20.0,0.0068598450818431,1.0008713701009004,0.1973603899132787,0.0099111678289807,0.0004990275169556,0.0092683366030997,0.0013428612652036,3.231276550232686e-05
run_mlp_lr_d0.00005_lr_g0.00125,mlp,5e-05,0.00125,20.0,3.194606794880071e-05,2.421806406266323,0.1981659933445157,0.0102599002327714,0.000501039663123,0.0098530015702637,0.0013299533943026,3.798815449473339e-05
run_cnn_lr_d0.0002_lr_g0.00125,cnn,0.0002,0.00125,20.0,0.0012732130130318,2.4079396887217115,0.1928046295024799,0.010404269901418,0.0005010778367429,0.0094546132027855,0.0014056811008221,3.7154107045769855e-05
run_mlp_lr_d0.00005_lr_g0.000625,mlp,5e-05,0.000625,20.0,3.470137272805525e-05,3.5464921875,0.188552199620103,0.009944031158346,0.0005011615030418,0.0093114437564019,0.0015386748114558,5.353268209766021e-05
run_lstm_lr_d0.0001_lr_g0.000625,lstm,0.0001,0.000625,20.0,0.0499685088438647,3.741737030908764,0.1927800063698058,0.0098260165419301,0.0005023602117261,0.0095934127674195,0.0015295565100412,5.356883679012802e-05
